id,phone,email
cd10e692-7c21-47e4-9821-0b807e5b600a,877-690-6466,
4a1c73c0-b410-4c7e-a07f-c6f306aea0e0,(310) 442-9700,
c08ec5c3-5eb2-48dd-b756-5e285c4a6991,800 246 8424,
f3f513fe-0a5e-4ff4-881a-794a82a6b36a,US : 1 (800) 9REGROW,
ce29ceff-0588-4b41-b301-29dc857dd2ff,3109992876,
b64f62ba-b176-4ee7-ab57-eb0d2d57995e,,mazis@aol.com
a63ed4c8-4ae3-4eed-a3e1-d34506f5b871,(416) 923-7747,
3fbce838-bfa1-4010-a046-6393f2483a95,844-400-3532,
f8d7808f-e40c-4d9c-8777-107e42cc8663,310.289.0901,
5a460dd8-0e6e-4677-b2fb-fa3212f555ae,3109992876,amin@hairauthority.com
7703997a-d866-4495-9fbf-84c0acbeec0f,949 205 7491,
141ce5f4-1a62-4897-bd82-234696a399ee,888.424.7278,amin@hairauthority.com
b78d658d-3d96-4d01-bc0f-bff5ca2b0a7d,212-826-2400,
2bb03366-709d-458d-8643-e48b64e2b952,(860) 563-1400,amin@hairauthority.com
ca2ac472-24c5-450c-9741-b0489842c806,480-222-HAIR (4247),
f3a3b17b-5fdf-4d23-ade4-16bb58fc838e,310-438-5176,amin@hairauthority.com
8a8966ac-3299-4d25-a079-d02346b09318,(510) 301-1839,amin@hairauthority.com
0686902e-ec46-4896-a4fe-f15a38d3df00,415-453-9792,amin@hairauthority.com
c9ce27a1-791a-4247-8a40-d09318e95920,202-483-1326,amin@hairauthority.com
eda2a742-c256-4192-bd78-b2ef894c49dd,941.356.2490,amin@hairauthority.com
0d4f01ce-fd5b-4885-923b-2b44275e9e2f,(917) 952-4578,amin@hairauthority.com
aac9279d-2d62-41de-99c7-a6acac195cbf,718-980-4700,
3ed94228-c5a3-4833-9248-d72a348f3777,(610) 277-3699,
26d8ebbf-b279-4b59-a691-1dc29327bac8,(613) 287-3696,amin@hairauthority.com
4de9e056-cc77-4d8a-84bf-fa75a4ce3f56,416-322-0390,amin@hairauthority.com
71644d2f-154d-49d6-9d9d-1709cae47090,08 6141 3133,amin@hairauthority.com
4380b2e8-c8ed-4d10-b7fc-c66811e14c43,01 412 6076,amin@hairauthority.com
e3b89c73-4cf7-407d-865b-052e55f4a5e5,01628 925911,
9f42611b-bda4-4f7f-9821-90d6ba515eac,204-891-4862,amin@hairauthority.com
676e1bee-2e5c-4e6f-81c1-b7e9d0a780c4,,
139f3a73-103c-47e2-ab21-c020c6482aec,,
26a7ba68-2aba-4f2b-8c67-3c3572806e68,,
3187819c-1ecd-49b1-afe2-27816eb08ab9,,
f466b525-3a80-433e-9a2f-b9564f7f8158,,
fa87c8bd-17fa-45ab-b287-71162695db3b,91 886 080 1892,
6ddcac36-aaa8-4016-9175-b29a983df742,9703686470,
6226793e-3570-4bac-8ac1-0c0a7895b1a9,,
d52c962b-dc99-4860-b5e1-ff27ee5fb3db,(48) 669 797 079 & (48) 12 649 7618,
34e9ae1e-c9d5-4ed8-8243-df7056658ff2,,
4421ee83-4da8-493c-aa11-9f343a4fe9cb,,
120405a0-ec0d-46b2-a96f-f65d23c273af,+65 6338 8680,
fdd4a3fb-244b-472c-8a28-e50d7f97d43e,(+65) 6247 5855,
70060798-01bb-4bcb-9c10-f73a619c5a84,+65 6247 5855,
3e6ec5d4-4b4f-46a9-894f-0edcabf7cd72,,
dfdb345b-7c05-43ac-8e76-2e53ee4123fe,,
26ee6c8f-df81-4d7f-a146-cb17c2694094,,
1dbb2eca-75ba-4fdd-923d-5dd603080639,(868) 223-1891,amin@hairauthority.com
d6610a86-53c5-4bb1-a25c-6cf9a137cc4a,,
eb5cf3ad-30a9-46dc-98f3-4425f79ead72,868-662-9380,
7a60620f-2378-4f16-9e1e-0cc397671358,,
c49bb3ea-614d-4885-ba99-c92b971625f5,,
1633f753-dd24-434f-962f-b6afc4c90814,,
5b3b0176-10af-4659-a47f-d894f15dadc1,310- 405-5922,
549f4546-060d-49bd-8d26-c0f18116fe6a,,
f861ca94-cf90-4bcc-926d-bfa1c7b9d4cb,,
fb58f33a-c648-474d-836e-91693a95a18c,,
c06e2fe8-4d2b-40b9-b355-770f61928119,,
6d42943c-4a42-4c7b-a0d1-7d9ebc5983f9,,
84b3801e-f1de-4607-b2d4-4c55f3d0cc80,727-501-1700,
e91069d9-7053-467f-88e4-cf224812b48f,,
5b4f1387-b077-469d-87a3-21fcbbef904e,,
37bf1fbf-8d50-41d1-ab94-e9705644c537,,
c11e2c13-810c-4809-a239-241b845bd581,,
142e0553-eeeb-41ea-80df-c7ad938287b8,,
6c8dcb82-d4d5-424c-a2e7-28f157f434d9, 255-774-4008,
8d2667f8-7aa0-414c-a360-b72f03238d64,,
f90ba0b0-5f3e-40c4-baa2-70f848609ee6,,
e24e2b48-26d2-4417-a8c6-9e7a9f57b05a,,
92147c05-073d-4d33-95c3-e1292965fb9e,,
577213d5-9cf5-4f69-b22b-e7030776dcff,,janet@janetwaddell.com
50c2d928-44fc-4dbc-91be-e09a012eb7e6,55 11 5051 2525,marcia.barsanti@gmail.com
74085c1e-afd4-4f23-b8d4-6d2544f5d3aa,717 232 4264,hairloss@josephs.comcastbiz.net
7d5cd293-c7ea-4099-ac7f-9600ae4cb3ae,206-782-5890,info@salonjuan.com
b13a0fbb-b155-4fa6-bf49-2cdd0b8f9a91,781-233-9787,wigsbysylvia@hotmail.com
98e83489-df49-4448-8d59-dfca2f322533,605-334-7026,virg@virghair.com
4b1a906d-0331-47be-a7e4-44c63081d4b3,770-978-1400,kd_jarvis@yahoo.com
2493658e-1234-412f-a0b2-39a216c78234,817-576-8906,
d9f9f4b0-7ccd-4a95-af28-24685511a168,573-893-4247,thestylistcjc@aol.com
8a8d4dcc-60d9-4653-9c6b-0d0041075f30,800-340-4794,info@newporthairlosscenter.com
e14781ca-d4aa-4d72-9c6c-d095736ae57d,608-238-7651,colleen.filtz@gmail.com
46b8b8e3-3e81-4c8c-afeb-0ffcc917adf6,914-412-7700,flora@uniquehairconcepts.com
3a04ef3f-11f4-46d2-877f-528e4714f9e8,910-452-0072,admin@salonbeyondbasics.com
34ead4b8-a9d8-48dd-b13a-78aab9629580,407-830-0554,hci.jackie@gmail.com
5186158d-02d8-407f-965d-fd159e27d36c,718-698-4700,drkingsley@britsci.com
22b3b7a8-1208-415e-b1f4-e859bd069b8f,773-871-0770,karen@jgordonhair.com
c6d75505-f9b8-4afd-882b-6560f2c4f0f4,519-258-1149,deang1963@hotmail.com
489e5c54-ba60-4720-884e-5683b271c097,952-890-5607,cindy@remakesalon.com
eda5f368-16cd-4454-ae30-9da3b8eb89ba,905-985-0099,rgreco@quisk.ca
fb300b9a-cca6-4a2e-af5d-a320a6685a9d,561-640-0990,hairprofessionals@bellsouth.net
af613e3f-da59-4ca5-85f1-b1db411954df,517-230-2059,jessica@awigandaprayer.com
5475d60c-6bb8-42d4-8bbd-5c6a7ec49438,732-282-0020,danielle@transitionshairsolutions.com
423d1314-eab4-41c8-96fd-456e063d2da7,508-754-8858,ihsworc@aol.com
8043ccf8-bcca-4fce-945c-62b3e8e6973d,865-671-1996,stacey.gardebien@gmail.com
e96bc3d0-c84f-487d-8a70-1ed6894401a4,610-923-9400,renajohawk@yahoo.com
f002f4f0-0de6-4286-9f7b-3d8b45b8effb,941-927-9829,hedricksue52@gmail.com
de7c879b-6660-4dde-9a5f-e9c3328ed849,724-532-1901,info@wigsnmore.net
12a5d162-3341-428c-a528-5c8eea67a52a,732 255 1733,bobbiepin@aol.com
69dcb0aa-4653-4608-89a0-a62471f199c8,504-464-5949,hairstylesunlimi@bellsouth.net
fa62418d-009a-496e-addd-6eb098443844,408-279-4247,sima@newlookinstitute.com
addc06e0-64c6-4ad2-bf6d-646fa24bc251,570-253-4770,appledayspasalon@gmail.com
337662e3-2ae7-4453-a77d-da69374046da,61396623011,carl.howell@advancedhair.com.au
52ed3e0c-651f-4be1-9467-ddcfa5978382,724-464-9943,lisa.lisa.hunter1@gmail.com
28f386ac-45e4-4fba-b9cc-303efc931394,203-598-3599,lew@invisionshair.com
e55ff6be-f05b-4b9b-b572-c8b9bdac4ba6,615-947-2418,restorehrs@gmail.com
7407b999-fba3-4b89-ba41-10b130fa56f1,(773) 282-5454,arthur@hairlinecreations.us
9066c1ad-c736-4b2c-93e4-33b0b624658e,919 787 2401,jerniganshair@aol.com
7a89dde4-5185-486b-abc6-2112509f5d00,815-639-9251,terri.inspiration@gmail.com
a47ee578-1049-4df9-ac21-32d2e65ef415,412-980-4247,susank@hriofpennsylvania.com
0a3a9d1e-1cf8-44f4-bfc2-eb1320bad912,720-795-7920,lkilpatrick07@gmail.com
ca630a39-a106-4f29-83ad-a2f6ad4cb898,720-795-7920,kilpatrick88@hotmail.com
a4419a92-061a-4858-9170-f31ab065b1f6,412-428-0121,uneedahaircut@aol.com
d29c8ac0-3369-452a-95f7-436f02899a74,716-632-2403,anaturalimage@gmail.com
75f4b9e7-6cbd-47b7-b392-7463d3defe30,610-327-0955,emiliekurtz@comcast.net
29871c03-02a1-48be-b14f-daf1da9e7b1b,954-742-4500,leonard@transitionsftl.com
046ae513-274d-4c94-91df-4c36f4ba188f,414-273-7980,dave@kingshead.com
565ba44e-b199-472b-b3d2-78e873783312,414-481-1585,mlimagctr@aol.com
954a3b14-0bc8-4302-b55b-6934b7231224,910-792-7755,coastalconcepts1@aol.com
2e03a024-74d6-47f5-b0f7-8d78724c3bd4,770-912-4661,dlindsay4661@gmail.com
e0d464c7-6cdd-4ece-bf4d-94c601a3030e,412-344-9252,hehairloss@gmail.com
e605377d-518d-4970-bfce-fcdee28157e6,479-640-2038,saralou@customdesignhair.com
0dbf5f4e-55a5-41af-8059-59fc3ab14d49,805-937-8070,dareplus000@aol.com
15228697-2ac5-46aa-902a-367aa3e5751d,718-447-8906,brenda@ultimatehairtechniques.com
1d1eb9b1-7108-407c-9d69-55a703cd4b6e,281-499-9433,hairbychristal@yahoo.com
1db7de9b-1e47-4957-9835-8a4d90658f4a,814-266-9781,nuharthair@atlanticbb.net
99d4d102-8399-41b0-a455-9b7b426a3e5d,515-457-9534,jp1morlan@gmail.com
a33f35cd-5041-47dc-84b0-a29390572e22,704-522-3866,tarye@fusedhairstudio.com
7d5832b5-01d3-450e-8514-7b9cad51b002,330-655-2222,kelly@thehairspecialist.net
b392ff0f-bbb6-41f3-a619-d69c742a6e94,941-600-6387,olevson1@yahoo.com
73aa9716-7983-487d-bc9c-6ad413b9a162,440-333-8939,jeffrey@hairscalp.com
9efe5be2-de91-43ae-be31-10ab1c9d5099,9230092362,mp@drpaulsonline.com
ced8ef4d-6053-46c2-bbdd-97b792520227,615-625-3594,studiola@comcast.net
90a5171d-3874-4c18-839a-d31aae7dd89a,802-878-8400,hairbuilders@hotmail.com
45966d8a-c0a6-4f4b-9704-4949cc82886c,1132693111,info@totalhairlosssolutions.com
97984a03-f98b-49ec-bc34-659dd6e06ede,619-296-7744,icangiveuhair.com@aol.com
32d5d8ec-cbbd-4e3e-bdb3-905de83749ca,401-726-6800,info@hairsolutionsinc.com
29d36f46-a7e8-4bfc-a8af-2f5fa48ffd4c,806-358-7614,jojohair@suddenlink.net
