image_id,featured_image,listing_id
14534adf-92c8-4b12-9dfa-54b28f7e79c4,2019/03/50310331_2428916200483154_7054020368632326200_n-2.jpg,cd10e692-7c21-47e4-9821-0b807e5b600a
5095decf-870c-4726-84dd-58e743ffb476,2019/03/19598923_1439171846138806_8755819555959753781_n-2.jpg,4a1c73c0-b410-4c7e-a07f-c6f306aea0e0
7cd382f9-8af9-48ef-a308-dfd7966cd317,2019/03/50655414_2462063437156335_8161517917825925120_n.jpg,c08ec5c3-5eb2-48dd-b756-5e285c4a6991
5a41e598-0816-42ca-aa06-8fe7f7d14815,2019/10/Screen-Shot-2019-10-10-at-12.02.00-PM.jpeg,f3f513fe-0a5e-4ff4-881a-794a82a6b36a
69d5d12b-f932-414a-bd56-b584cbaa04e2,2019/03/Vivandi-logo.png,ce29ceff-0588-4b41-b301-29dc857dd2ff
c2f1bf45-944a-4caa-a02d-b3447eba0893,2019/03/hairloss5.jpg,b64f62ba-b176-4ee7-ab57-eb0d2d57995e
24541e6b-3862-46c3-abde-99aff76a1804,2019/03/logo-continentalhair-banner-whiteOnClear-retina-1.png,a63ed4c8-4ae3-4eed-a3e1-d34506f5b871
c0d6cfed-b7ab-4f51-a652-225d777d278f,2019/03/Logo1000.jpg,3fbce838-bfa1-4010-a046-6393f2483a95
5a3fe10a-c7ad-459f-bfbb-6774d3950913,2019/03/24254861_1650174731742008_4147276915511016091_o.jpg,f8d7808f-e40c-4d9c-8777-107e42cc8663
80caedfb-6b44-42c8-998c-8d86c7dfea76,2019/03/54230767_2001936869903876_7329238334868291584_n.jpg,5a460dd8-0e6e-4677-b2fb-fa3212f555ae
17b21ae0-d22f-46a1-a07b-7abecc2064f8,2019/03/Screen-Shot-2019-03-19-at-13.35.36-PM.jpeg,7703997a-d866-4495-9fbf-84c0acbeec0f
d4b2fc2e-81b6-48ce-8abf-5810c035ddbc,2019/03/logo-3.png,141ce5f4-1a62-4897-bd82-234696a399ee
939413ca-5a88-402d-8244-50fc1d6df596,2019/03/collage-about-1201w-1.jpg,b78d658d-3d96-4d01-bc0f-bff5ca2b0a7d
