listing_id,day,opening_hours,closing_hours
4a1c73c0-b410-4c7e-a07f-c6f306aea0e0,Monday,09:00am,05:00pm
4a1c73c0-b410-4c7e-a07f-c6f306aea0e0,Tuesday,09:00am,05:00pm
4a1c73c0-b410-4c7e-a07f-c6f306aea0e0,Wednesday,09:00am,05:00pm
4a1c73c0-b410-4c7e-a07f-c6f306aea0e0,Thursday,09:00am,05:00pm
4a1c73c0-b410-4c7e-a07f-c6f306aea0e0,Friday,09:00am,05:00pm
c08ec5c3-5eb2-48dd-b756-5e285c4a6991,Monday,09:00am,05:00pm
c08ec5c3-5eb2-48dd-b756-5e285c4a6991,Tuesday,09:00am,05:00pm
c08ec5c3-5eb2-48dd-b756-5e285c4a6991,Wednesday,09:00am,05:00pm
c08ec5c3-5eb2-48dd-b756-5e285c4a6991,Thursday,09:00am,05:00pm
c08ec5c3-5eb2-48dd-b756-5e285c4a6991,Friday,09:00am,05:00pm
f3f513fe-0a5e-4ff4-881a-794a82a6b36a,Monday,09:00am,05:00pm
f3f513fe-0a5e-4ff4-881a-794a82a6b36a,Tuesday,09:00am,05:00pm
f3f513fe-0a5e-4ff4-881a-794a82a6b36a,Wednesday,09:00am,05:00pm
f3f513fe-0a5e-4ff4-881a-794a82a6b36a,Thursday,09:00am,05:00pm
f3f513fe-0a5e-4ff4-881a-794a82a6b36a,Friday,09:00am,05:00pm
ce29ceff-0588-4b41-b301-29dc857dd2ff,Monday,09:00am,05:00pm
ce29ceff-0588-4b41-b301-29dc857dd2ff,Tuesday,09:00am,05:00pm
ce29ceff-0588-4b41-b301-29dc857dd2ff,Wednesday,09:00am,05:00pm
ce29ceff-0588-4b41-b301-29dc857dd2ff,Thursday,09:00am,05:00pm
ce29ceff-0588-4b41-b301-29dc857dd2ff,Friday,09:00am,05:00pm
b64f62ba-b176-4ee7-ab57-eb0d2d57995e,Monday,09:00am,05:00pm
b64f62ba-b176-4ee7-ab57-eb0d2d57995e,Tuesday,09:00am,05:00pm
b64f62ba-b176-4ee7-ab57-eb0d2d57995e,Wednesday,09:00am,05:00pm
b64f62ba-b176-4ee7-ab57-eb0d2d57995e,Thursday,09:00am,05:00pm
b64f62ba-b176-4ee7-ab57-eb0d2d57995e,Friday,09:00am,05:00pm
a63ed4c8-4ae3-4eed-a3e1-d34506f5b871,Monday,09:00am,05:00pm
a63ed4c8-4ae3-4eed-a3e1-d34506f5b871,Tuesday,09:00am,05:00pm
a63ed4c8-4ae3-4eed-a3e1-d34506f5b871,Wednesday,09:00am,05:00pm
a63ed4c8-4ae3-4eed-a3e1-d34506f5b871,Thursday,09:00am,05:00pm
a63ed4c8-4ae3-4eed-a3e1-d34506f5b871,Friday,09:00am,05:00pm
3fbce838-bfa1-4010-a046-6393f2483a95,Monday,09:00am,05:00pm
3fbce838-bfa1-4010-a046-6393f2483a95,Tuesday,09:00am,05:00pm
3fbce838-bfa1-4010-a046-6393f2483a95,Wednesday,09:00am,05:00pm
3fbce838-bfa1-4010-a046-6393f2483a95,Thursday,09:00am,05:00pm
3fbce838-bfa1-4010-a046-6393f2483a95,Friday,09:00am,05:00pm
f8d7808f-e40c-4d9c-8777-107e42cc8663,Monday,09:00am,05:00pm
f8d7808f-e40c-4d9c-8777-107e42cc8663,Tuesday,09:00am,05:00pm
f8d7808f-e40c-4d9c-8777-107e42cc8663,Wednesday,09:00am,05:00pm
f8d7808f-e40c-4d9c-8777-107e42cc8663,Thursday,09:00am,05:00pm
f8d7808f-e40c-4d9c-8777-107e42cc8663,Friday,09:00am,05:00pm
5a460dd8-0e6e-4677-b2fb-fa3212f555ae,Monday,09:00am,05:00pm
5a460dd8-0e6e-4677-b2fb-fa3212f555ae,Tuesday,09:00am,05:00pm
5a460dd8-0e6e-4677-b2fb-fa3212f555ae,Wednesday,09:00am,05:00pm
5a460dd8-0e6e-4677-b2fb-fa3212f555ae,Thursday,09:00am,05:00pm
5a460dd8-0e6e-4677-b2fb-fa3212f555ae,Friday,09:00am,05:00pm
